mpb_band,lambda_um-2,nu_a2.288
247,1.170541048,0.393976
248,1.172241688,0.394262
249,1.173982263,0.394554
250,1.177026868,0.395066
251,1.179225445,0.395435
252,1.180574417,0.395661
253,1.184844255,0.396375
254,1.186021328,0.396572
255,1.186992407,0.396735
256,1.189436913,0.397143
257,1.190937757,0.397393
258,1.192104816,0.397588
259,1.195408821,0.398139
260,1.197853565,0.398546
261,1.199731112,0.398858
262,1.200752974,0.399028
263,1.200998545,0.399068
264,1.202888489,0.399382
265,1.206546545,0.399989
266,1.207618713,0.400167
267,1.211149454,0.400751
268,1.212094188,0.400908
269,1.214367390,0.401283
270,1.216445565,0.401627
271,1.218292952,0.401931
272,1.219173670,0.402077
273,1.222534180,0.402630
274,1.223867416,0.402850
275,1.227995634,0.403529
276,1.229022264,0.403697
277,1.230264425,0.403901
278,1.232925653,0.404338
279,1.235632658,0.404782
280,1.236054659,0.404851
281,1.238833189,0.405306
282,1.239379168,0.405395
283,1.241880655,0.405804
284,1.245715499,0.406430
285,1.247206926,0.406673
286,1.248581409,0.406897
287,1.250283003,0.407174
288,1.252579689,0.407548
289,1.254698753,0.407893
290,1.255576611,0.408035
291,1.256491423,0.408184
292,1.260154724,0.408779
293,1.261423111,0.408984
294,1.263508439,0.409322
295,1.266145587,0.409749
296,1.267354727,0.409945
297,1.268913507,0.410197
298,1.274135351,0.411040
299,1.275129557,0.411200
300,1.276628017,0.411442
301,1.278397799,0.411727
302,1.280718923,0.412100
303,1.282594681,0.412402
304,1.284638524,0.412731
305,1.286146402,0.412973
306,1.291341066,0.413806
307,1.292008996,0.413913
308,1.294290185,0.414278
309,1.295480013,0.414468
310,1.297185183,0.414741
311,1.298965931,0.415026
312,1.299942017,0.415182
313,1.302426577,0.415578
314,1.308057904,0.416476
315,1.309019446,0.416629
316,1.309697151,0.416737
317,1.312920094,0.417249
318,1.315828204,0.417711
319,1.317435980,0.417966
320,1.318048477,0.418063
321,1.321963668,0.418684
322,1.324095964,0.419021
323,1.325785160,0.419288
324,1.327918768,0.419626
325,1.328728199,0.419753
326,1.330142856,0.419977
327,1.334933758,0.420732
328,1.335642576,0.420844
329,1.337310672,0.421107
330,1.339738131,0.421489
331,1.341767073,0.421808
332,1.343355060,0.422057
333,1.345163822,0.422341
334,1.348436117,0.422855
335,1.351302862,0.423304
336,1.354628086,0.423825
337,1.356494427,0.424116
338,1.357651830,0.424297
339,1.361143112,0.424843
340,1.361760855,0.424939
341,1.364031672,0.425293
342,1.367705822,0.425866
343,1.368289948,0.425956
344,1.369892359,0.426206
345,1.371188164,0.426407
346,1.373715281,0.426800
347,1.375624180,0.427097
348,1.376974940,0.427306
349,1.379916191,0.427762
350,1.383051872,0.428248
351,1.385435581,0.428617
352,1.386530638,0.428786
353,1.388418674,0.429078
354,1.391318798,0.429526
355,1.393385768,0.429845
356,1.397546887,0.430486
357,1.398294687,0.430601
358,1.399649382,0.430810
359,1.402150154,0.431195
360,1.403378606,0.431384
361,1.405194283,0.431663
362,1.407340407,0.431992
363,1.408828020,0.432220
364,1.410767078,0.432518
365,1.413944483,0.433004
366,1.414842367,0.433142
367,1.417818546,0.433597
368,1.420595407,0.434022
369,1.421257496,0.434123
370,1.422385693,0.434295
371,1.425382733,0.434752
372,1.426386476,0.434905
373,1.430513382,0.435534
374,1.431402922,0.435669
375,1.434088588,0.436078
376,1.436119556,0.436387
377,1.438604951,0.436764
378,1.440477848,0.437048
379,1.441437960,0.437194
380,1.444008827,0.437584
381,1.444635868,0.437679
382,1.446966052,0.438031
383,1.450350642,0.438543
384,1.451360941,0.438696
385,1.452807784,0.438915
386,1.454085588,0.439108
387,1.456466794,0.439467
388,1.458128452,0.439718
389,1.460257888,0.440039
390,1.460659504,0.440099
391,1.461728215,0.440260
392,1.466084599,0.440916
393,1.466396809,0.440963
394,1.470157385,0.441528
395,1.472509623,0.441881
396,1.474722028,0.442213
397,1.475764751,0.442369
398,1.478471279,0.442774
399,1.479775310,0.442970
400,1.481446981,0.443220
401,1.484870911,0.443732
402,1.487021565,0.444053
403,1.488341808,0.444250
404,1.490687132,0.444600
405,1.491247892,0.444684
406,1.494269848,0.445134
407,1.496403217,0.445452
408,1.501372814,0.446191
409,1.503234267,0.446467
410,1.504794836,0.446699
411,1.506798506,0.446996
412,1.507841349,0.447151
413,1.509406328,0.447383
414,1.512737751,0.447876
415,1.513333082,0.447964
416,1.514601946,0.448152
417,1.518732786,0.448763
418,1.518996954,0.448802
419,1.520426154,0.449013
420,1.521225572,0.449131
421,1.524596214,0.449628
422,1.528261662,0.450168
423,1.529138803,0.450298
424,1.533818722,0.450986
425,1.535822034,0.451281
426,1.537346840,0.451504
427,1.538948894,0.451740
428,1.540648818,0.451989
429,1.541809082,0.452159
430,1.543082833,0.452346
431,1.546814203,0.452893
432,1.547680020,0.453019
433,1.548796058,0.453183
434,1.553553581,0.453878
435,1.554503918,0.454017
436,1.557192326,0.454409
437,1.559996128,0.454818
438,1.561005592,0.454965
439,1.566193938,0.455721
440,1.566411614,0.455753
441,1.568379879,0.456039
442,1.570151806,0.456296
443,1.573130131,0.456729
444,1.574738979,0.456962
445,1.576739073,0.457252
446,1.579779267,0.457693
447,1.581944108,0.458007
448,1.583396673,0.458217
449,1.584854603,0.458428
450,1.588488817,0.458953
451,1.593114376,0.459621
452,1.597077012,0.460192
453,1.598635077,0.460416
454,1.602479696,0.460970
455,1.604072571,0.461199
456,1.607069254,0.461629
457,1.610175848,0.462075
458,1.611263633,0.462231
459,1.614965916,0.462762
460,1.618697166,0.463296
461,1.622625589,0.463858
462,1.625420570,0.464258
463,1.625784159,0.464310
464,1.629396915,0.464825
465,1.631545186,0.465131
466,1.637769222,0.466018
467,1.640899181,0.466463
468,1.644332886,0.466951
469,1.645799398,0.467159
470,1.648765326,0.467580
471,1.649504900,0.467684
472,1.656377077,0.468658
473,1.658818960,0.469003
474,1.660283566,0.469210
475,1.664236307,0.469768
476,1.666306496,0.470060
477,1.670570612,0.470661
478,1.674233317,0.471177
479,1.677585840,0.471649
480,1.681155562,0.472150
481,1.687040091,0.472976
482,1.692645192,0.473761
483,1.702626467,0.475156
484,1.704556704,0.475425
485,1.708316684,0.475949
486,1.712926865,0.476591
487,1.719782472,0.477543
488,1.729067206,0.478831
489,1.730989933,0.479097
490,1.735305071,0.479694
491,1.739173651,0.480228
492,1.743373156,0.480808
493,1.750293493,0.481761
494,1.752855897,0.482113
495,1.766502380,0.483987
496,1.767366886,0.484105
497,1.775803804,0.485259
498,1.777590752,0.485503
499,1.785499930,0.486582
500,1.827587485,0.492283
501,2.022493362,0.517869
502,2.056980610,0.522265
503,2.075735569,0.524641
504,2.100549698,0.527767
505,2.112506151,0.529267
506,2.129199028,0.531354
507,2.136148930,0.532221
508,2.148496628,0.533757
509,2.153472424,0.534375
510,2.158264875,0.534969
511,2.163187265,0.535579
512,2.172636509,0.536747
513,2.194362879,0.539424
514,2.198114395,0.539885
515,2.199843884,0.540097
516,2.205610991,0.540805
517,2.208552837,0.541165
518,2.210964918,0.541461
519,2.219633579,0.542521
520,2.222798824,0.542908
521,2.227347374,0.543463
522,2.231277943,0.543942
523,2.235076666,0.544405
524,2.242944479,0.545363
525,2.247948170,0.545971
526,2.253405333,0.546633
527,2.254041672,0.546710
528,2.264399529,0.547965
529,2.269956112,0.548637
530,2.273201704,0.549029
531,2.284736156,0.550420
532,2.289438009,0.550986
533,2.292357206,0.551337
534,2.296181679,0.551797
535,2.299718857,0.552222
536,2.304037094,0.552740
537,2.307036400,0.553100
538,2.308374882,0.553260
539,2.313690186,0.553897
540,2.320261478,0.554683
541,2.323819399,0.555108
542,2.326961279,0.555483
543,2.332651615,0.556162
544,2.336346626,0.556602
545,2.340389729,0.557083
546,2.344956875,0.557627
547,2.347885609,0.557975
548,2.352224350,0.558490
549,2.356121540,0.558953
550,2.358072281,0.559184
551,2.366243601,0.560152
552,2.366687059,0.560204
553,2.370550394,0.560662
554,2.372834206,0.560932
555,2.376982212,0.561422
556,2.380591869,0.561848
557,2.381661415,0.561974
558,2.389084816,0.562849
559,2.389695168,0.562921
560,2.395027637,0.563549
561,2.399871826,0.564118
562,2.401915073,0.564358
563,2.408368587,0.565116
564,2.411111355,0.565438
565,2.412599802,0.565612
566,2.414400578,0.565823
567,2.419199467,0.566385
568,2.422893286,0.566818
569,2.425185204,0.567086
570,2.427535057,0.567360
571,2.432283878,0.567915
572,2.436760426,0.568437
573,2.439226389,0.568725
574,2.443115234,0.569178
575,2.447205544,0.569654
576,2.449928522,0.569971
577,2.453084707,0.570338
578,2.456193686,0.570699
579,2.460101843,0.571153
580,2.463110209,0.571502
581,2.464729786,0.571690
582,2.471042156,0.572422
583,2.475627422,0.572953
584,2.476828575,0.573092
585,2.479114532,0.573356
586,2.481264353,0.573605
587,2.484173536,0.573941
588,2.488490105,0.574439
589,2.490490913,0.574670
590,2.494071007,0.575083
591,2.497037649,0.575425
592,2.498944759,0.575645
593,2.499945641,0.575760
594,2.506546974,0.576520
595,2.507631540,0.576644
596,2.513696909,0.577341
597,2.514440298,0.577427
598,2.520443439,0.578116
599,2.523166656,0.578428
600,2.524257183,0.578553
601,2.525796890,0.578729
602,2.530099869,0.579222
603,2.531290054,0.579358
604,2.534453869,0.579720
605,2.540475130,0.580408
606,2.541805029,0.580560
607,2.543416262,0.580744
608,2.547533512,0.581214
609,2.549043179,0.581386
610,2.550098896,0.581507
611,2.555412769,0.582112
612,2.558306456,0.582442
613,2.559621811,0.582591
