i,tile_label,lambda_um-2,lambda_raw,norm_sq,nu_a2.288,residual_reported,pr_fraction,pr_volume_um3,xi_um,r2,dyn_range_dec,resolved,shell2_energy_frac,slice,in_gap_bracket,class,periodic_partner_lam,periodic_overlap
69,5011,1.944051594,1.944144726,1.000047906,0.507727,5.4771e-05,5.576335e-03,83.4886,12.9748,0.3245,1.937,False,0.08098,Sgap,True,ext.,1.9406715631484985,0.9519441323517986
70,5012,1.947209447,1.947304487,1.000048808,0.508139,5.6205e-05,5.271211e-04,7.8920,3.0144,0.9195,3.820,True,0.42080,Sgap,True,seam*,,0.3012216846373701
71,5013,1.973811320,1.973904848,1.000047384,0.511598,5.4089e-05,3.293903e-03,49.3161,2.1258,0.9980,3.944,True,0.10465,Sgap,True,g (cand.),1.9708118438720703,0.9970991189267768
72,5014,1.990119585,1.990208387,1.000044622,0.513707,5.1561e-05,2.899717e-03,43.4144,2.5095,0.9816,3.279,True,0.03043,Sabove,True,g (cand.),1.9878944158554077,0.9675563109965046
73,5015,2.005207556,2.005297184,1.000044698,0.515651,5.2522e-05,3.393178e-03,50.8025,2.5623,0.9615,3.013,True,0.00710,Sabove,False,,,
74,5016,2.007689820,2.007779121,1.000044480,0.515970,5.0750e-05,9.189656e-03,137.5870,2.7525,0.9856,2.903,True,0.02739,Sabove,False,,,
75,5017,2.008786924,2.008876324,1.000044505,0.516111,5.2260e-05,7.885619e-03,118.0630,2.8356,0.9535,2.561,True,0.12402,Sabove,False,,,
76,5018,2.011851402,2.011940718,1.000044395,0.516504,5.3415e-05,4.179469e-03,62.5748,2.7422,0.9716,2.885,True,0.19591,Sabove,False,,,
77,5019,2.014677530,2.014767170,1.000044494,0.516867,5.2227e-05,1.145237e-02,171.4642,5.4901,0.7742,1.917,True,0.01637,Sabove,False,,,
78,5020,2.016374438,2.016464710,1.000044770,0.517085,5.1474e-05,1.167461e-02,174.7916,4.4027,0.9185,2.246,True,0.01583,Sabove,False,,,
79,5021,2.020931028,2.021020889,1.000044466,0.517669,5.1397e-05,7.894969e-03,118.2030,3.4034,0.9856,2.444,True,0.14655,Sabove,False,,,
80,5022,2.027383140,2.027472973,1.000044310,0.518494,5.3159e-05,1.971394e-02,295.1560,5.6170,0.9244,1.948,True,0.08709,Sabove,False,,,
81,5023,2.030879164,2.030969620,1.000044540,0.518941,5.1685e-05,1.604628e-02,240.2440,5.7385,0.9369,1.719,True,0.15957,Sabove,False,,,
82,5024,2.032924904,2.033015490,1.000044559,0.519203,5.1369e-05,1.961632e-02,293.6944,3.8165,0.9654,2.237,True,0.06176,Sabove,False,,,
83,5025,2.036752342,2.036842823,1.000044424,0.519691,5.2199e-05,2.057220e-02,308.0057,4.6798,0.9686,2.056,True,0.05011,Sabove,False,,,
84,5026,2.039654303,2.039744854,1.000044395,0.520061,5.2041e-05,6.599366e-03,98.8053,2.8931,0.9265,2.871,True,0.20226,Sabove,False,,,
85,5027,2.040570580,2.040661335,1.000044475,0.520178,5.1121e-05,7.172326e-03,107.3836,2.8656,0.9879,2.764,True,0.00586,Sabove,False,,,
86,5028,2.042449215,2.042539597,1.000044252,0.520417,5.1058e-05,4.795359e-02,717.9583,6.9720,0.8812,1.362,True,0.08759,Sabove,False,,,
87,5029,2.045261359,2.045351982,1.000044309,0.520776,5.1332e-05,1.161008e-02,173.8254,3.2834,0.9786,2.412,True,0.01652,Sabove,False,,,
88,5030,2.046158482,2.046249390,1.000044428,0.520890,5.3213e-05,1.784999e-02,267.2489,5.3656,0.8196,1.705,True,0.05109,Sabove,False,,,
89,5031,2.047123898,2.047214746,1.000044379,0.521013,5.4630e-05,3.579649e-02,535.9429,8.5496,0.8349,1.141,True,0.03728,Sabove,False,,,
90,5032,2.049517911,2.049608946,1.000044418,0.521317,5.2875e-05,1.489815e-02,223.0542,4.2976,0.9544,1.923,True,0.05236,Sabove,False,,,
91,5033,2.050746995,2.050838232,1.000044489,0.521473,5.1395e-05,2.788530e-02,417.4971,4.7485,0.7799,1.913,True,0.04631,Sabove,False,,,
92,5034,2.052281815,2.052372932,1.000044398,0.521669,5.2390e-05,3.627631e-02,543.1268,6.0509,0.8543,1.508,True,0.03087,Sabove,False,,,
93,5035,2.053731799,2.053823233,1.000044521,0.521853,5.1305e-05,4.266994e-02,638.8518,7.8868,0.9191,1.240,True,0.05094,Sabove,False,,,
94,5036,2.054579476,2.054670572,1.000044338,0.521960,5.0961e-05,1.984340e-02,297.0942,4.3603,0.9262,1.986,True,0.03007,Sabove,False,,,
95,5037,2.056864513,2.056955814,1.000044389,0.522251,5.1156e-05,1.148311e-02,171.9244,4.2302,0.8682,2.540,True,0.09319,Sabove,False,,,
96,5038,2.057649712,2.057740211,1.000043982,0.522350,5.0962e-05,4.101505e-02,614.0749,6.4386,0.9445,1.337,True,0.04849,Sabove,False,,,
97,5039,2.060351735,2.060443401,1.000044491,0.522693,5.1925e-05,2.365095e-02,354.1005,6.3961,0.7927,1.516,True,0.01879,Sabove,False,,,
98,5040,2.064419653,2.064511061,1.000044278,0.523209,5.1978e-05,4.786494e-02,716.6310,11.0165,0.4358,1.313,False,0.05545,Sabove,False,,,
99,5041,2.066390165,2.066482067,1.000044475,0.523459,5.2846e-05,2.997357e-02,448.7625,5.3926,0.9113,1.776,True,0.04532,Sabove,False,,,
100,5042,2.069077041,2.069169521,1.000044696,0.523799,5.4061e-05,1.548236e-02,231.8009,4.5274,0.8847,1.977,True,0.05090,Sabove,False,,,
101,5043,2.070215386,2.070307255,1.000044376,0.523943,5.2673e-05,3.200845e-02,479.2287,5.4587,0.8136,1.628,True,0.04637,Sabove,False,,,
102,5044,2.070437014,2.070528984,1.000044421,0.523971,5.3201e-05,2.958089e-02,442.8834,4.8966,0.8752,1.905,True,0.02797,Sabove,False,,,
103,5045,2.072698168,2.072790384,1.000044491,0.524257,5.1460e-05,2.800447e-02,419.2813,4.2448,0.9420,1.937,True,0.05701,Sabove,False,,,
104,5046,2.075038423,2.075131893,1.000045045,0.524553,5.2140e-05,6.362110e-02,952.5314,7.4986,0.9290,1.282,True,0.06364,Sabove,False,,,
105,5047,2.076217634,2.076310635,1.000044793,0.524702,5.1001e-05,3.655330e-02,547.2738,7.6506,0.6831,1.351,False,0.04171,Sabove,False,,,
106,5048,2.077035384,2.077128410,1.000044788,0.524805,5.1528e-05,4.659990e-02,697.6909,5.9217,0.9110,1.642,True,0.03123,Sabove,False,,,
107,5049,2.078674259,2.078766823,1.000044530,0.525012,5.0974e-05,6.106958e-02,914.3301,6.8370,0.7836,1.445,True,0.05401,Sabove,False,,,
108,5050,2.080096168,2.080189228,1.000044739,0.525192,5.1552e-05,3.429051e-02,513.3954,6.1060,0.7681,1.534,True,0.04051,Sabove,False,,,
109,5051,2.080593918,2.080686569,1.000044531,0.525255,5.1514e-05,4.451630e-02,666.4954,5.9570,0.9243,1.621,True,0.05157,Sabove,False,,,
110,5052,2.082010694,2.082103729,1.000044685,0.525433,5.1006e-05,3.182998e-02,476.5565,5.8332,0.7346,1.603,True,0.03507,Sabove,False,,,
111,5053,2.084643646,2.084736347,1.000044469,0.525765,5.2100e-05,2.788863e-02,417.5468,5.0077,0.7900,1.842,True,0.02903,Sabove,False,,,
112,5054,2.085370927,2.085463762,1.000044517,0.525857,5.1624e-05,3.485314e-02,521.8192,5.4630,0.6965,1.853,False,0.04844,Sabove,False,,,
113,5055,2.087214300,2.087307215,1.000044516,0.526090,5.1520e-05,3.900054e-02,583.9138,7.6254,0.5311,1.653,False,0.04298,Sabove,False,,,
114,5056,2.089378883,2.089472771,1.000044936,0.526362,5.1555e-05,2.007992e-02,300.6353,4.8609,0.7856,1.999,True,0.03599,Sabove,False,,,
115,5057,2.089798238,2.089891911,1.000044824,0.526415,5.2787e-05,2.389796e-02,357.7989,5.3967,0.7513,1.880,True,0.03184,Sabove,False,,,
116,5058,2.091860818,2.091954708,1.000044884,0.526675,5.2249e-05,2.621820e-02,392.5373,5.5262,0.8889,1.763,True,0.05785,Sabove,False,,,
117,5059,2.093419446,2.093513489,1.000044923,0.526871,5.1203e-05,7.177506e-02,1074.6119,7.8290,0.8007,1.217,True,0.04472,Sabove,False,,,
118,5060,2.094729132,2.094822645,1.000044642,0.527036,5.0596e-05,7.072692e-02,1058.9193,8.8695,0.8049,1.312,True,0.05388,Sabove,False,,,
119,5061,2.096787808,2.096881866,1.000044858,0.527295,5.1174e-05,8.666420e-02,1297.5312,8.6663,0.8805,1.186,True,0.06137,Sabove,False,,,
120,5062,2.098062133,2.098155975,1.000044728,0.527455,5.1930e-05,5.411380e-02,810.1886,6.1445,0.8604,1.564,True,0.06918,Sabove,False,,,
121,5063,2.099109710,2.099204540,1.000045176,0.527587,5.0909e-05,9.303898e-02,1392.9740,10.9137,0.6840,1.130,False,0.07432,Sabove,False,,,
122,5064,2.099374441,2.099468231,1.000044675,0.527620,5.2320e-05,4.371006e-02,654.4244,5.8750,0.8305,1.536,True,0.07023,Sabove,False,,,
123,5065,2.100124836,2.100218773,1.000044729,0.527714,5.2173e-05,5.239271e-02,784.4206,6.8832,0.8836,1.550,True,0.06295,Sabove,False,,,
124,5066,2.102724246,2.102818489,1.000044819,0.528041,5.1878e-05,3.709727e-02,555.4181,5.2627,0.9787,1.796,True,0.05663,Sabove,False,,,
125,5067,2.104840425,2.104934931,1.000044899,0.528306,5.2037e-05,4.502976e-02,674.1829,5.1700,0.9943,1.656,True,0.02725,Sabove,False,,,
126,5068,2.107229182,2.107323408,1.000044715,0.528606,5.1172e-05,8.959514e-02,1341.4130,6.6482,0.9457,1.267,True,0.07134,Sabove,False,,,
127,5069,2.107426878,2.107521057,1.000044689,0.528631,5.0947e-05,7.583845e-02,1135.4487,8.7509,0.6591,1.424,False,0.07034,Sabove,False,,,
128,5070,2.109543225,2.109637737,1.000044802,0.528896,5.1883e-05,1.208180e-01,1808.8798,10.5996,0.7285,1.165,True,0.05126,Sabove,False,,,
129,5071,2.112397887,2.112495422,1.000046173,0.529254,5.5780e-05,6.957666e-02,1041.6976,6.3154,0.8992,1.350,True,0.03082,Sabove,False,,,
130,5072,2.113833513,2.113970518,1.000064814,0.529434,8.7446e-05,9.602581e-02,1437.6926,7.1091,0.9644,1.280,True,0.05613,Sabove,False,,,
131,5073,2.115025821,2.115127802,1.000048217,0.529583,6.0718e-05,3.770234e-02,564.4771,6.1560,0.8097,1.529,True,0.03354,Sabove,False,,,
132,5074,2.116569509,2.116673470,1.000049118,0.529776,6.2016e-05,9.292978e-02,1391.3391,8.4738,0.8125,1.181,True,0.05690,Sabove,False,,,
